Timestamp,Utilizzo CPU (%),Utilizzo RAM (%)
2024-07-20 12:07:52,27.7,86.9
2024-07-20 12:07:53,35.0,86.8
2024-07-20 12:07:54,17.8,87.0
2024-07-20 12:07:55,51.5,88.4
2024-07-20 12:07:56,52.1,88.4
2024-07-20 12:07:57,2.5,88.4
2024-07-20 12:07:58,1.3,88.4
2024-07-20 12:07:59,4.6,88.2
2024-07-20 12:08:00,0.9,88.2
2024-07-20 12:08:01,7.0,88.2
2024-07-20 12:08:02,1.8,88.3
2024-07-20 12:08:03,1.5,88.3
2024-07-20 12:08:04,6.9,88.2
2024-07-20 12:08:05,1.5,88.2
2024-07-20 12:08:06,1.4,88.2
2024-07-20 12:08:07,5.4,88.2
2024-07-20 12:08:08,1.4,88.2
2024-07-20 12:08:09,3.9,88.2
2024-07-20 12:08:10,4.1,88.2
2024-07-20 12:08:11,7.3,88.2
2024-07-20 12:08:12,1.4,88.2
2024-07-20 12:08:13,0.8,88.2
2024-07-20 12:08:14,0.9,88.2
2024-07-20 12:08:15,1.3,88.2
2024-07-20 12:08:16,8.6,88.0
2024-07-20 12:08:17,2.0,88.0
2024-07-20 12:08:18,1.0,88.0
2024-07-20 12:08:19,1.4,88.0
2024-07-20 12:08:20,1.8,88.0
2024-07-20 12:08:21,1.6,88.0
2024-07-20 12:08:22,4.8,88.0
2024-07-20 12:08:23,3.4,88.0
2024-07-20 12:08:24,7.7,87.9
2024-07-20 12:08:25,1.4,87.9
2024-07-20 12:08:26,1.8,87.9
2024-07-20 12:08:27,1.0,87.9
2024-07-20 12:08:28,1.1,87.9
2024-07-20 12:08:29,1.0,87.9
2024-07-20 12:08:30,1.1,87.9
2024-07-20 12:08:31,1.0,87.9
2024-07-20 12:08:32,0.6,87.9
2024-07-20 12:08:33,1.5,87.9
2024-07-20 12:08:34,1.3,87.9
2024-07-20 12:08:35,0.6,87.9
2024-07-20 12:08:36,0.6,87.9
2024-07-20 12:08:37,0.6,87.9
2024-07-20 12:08:38,0.9,87.9
2024-07-20 12:08:39,1.4,87.9
2024-07-20 12:08:40,1.3,87.9
2024-07-20 12:08:41,0.8,87.9
2024-07-20 12:08:42,0.6,87.9
2024-07-20 12:08:43,1.9,87.9
2024-07-20 12:08:44,1.9,87.9
2024-07-20 12:08:45,0.9,87.9
2024-07-20 12:08:46,0.5,87.9
2024-07-20 12:08:47,1.3,87.9
2024-07-20 12:08:48,0.6,87.9
2024-07-20 12:08:49,1.4,87.9
2024-07-20 12:08:50,0.4,87.9
2024-07-20 12:08:51,0.9,87.9
2024-07-20 12:08:52,0.8,87.9
2024-07-20 12:08:53,1.9,87.9
2024-07-20 12:08:54,5.8,87.9
2024-07-20 12:08:55,0.8,87.9
2024-07-20 12:08:56,1.1,87.9
2024-07-20 12:08:57,0.6,87.9
2024-07-20 12:08:58,1.5,87.9
2024-07-20 12:08:59,0.9,87.9
2024-07-20 12:09:00,1.3,87.9
2024-07-20 12:09:01,1.1,87.9
2024-07-20 12:09:02,0.5,87.9
2024-07-20 12:09:03,1.4,87.9
2024-07-20 12:09:04,0.8,87.9
2024-07-20 12:09:05,0.6,87.9
2024-07-20 12:09:06,0.6,87.9
2024-07-20 12:09:07,0.8,87.9
2024-07-20 12:09:08,0.8,87.9
2024-07-20 12:09:09,2.1,87.9
2024-07-20 12:09:10,1.0,87.9
2024-07-20 12:09:11,0.8,87.9
