Timestamp,Utilizzo CPU (%),Utilizzo RAM (%)
2024-07-20 12:43:55,33.1,83.6
2024-07-20 12:43:56,22.8,83.7
2024-07-20 12:43:57,48.0,86.3
2024-07-20 12:43:58,20.9,86.4
2024-07-20 12:43:59,14.7,86.4
2024-07-20 12:44:00,14.9,86.4
2024-07-20 12:44:01,13.4,86.4
2024-07-20 12:44:02,13.8,86.4
2024-07-20 12:44:03,19.7,86.7
2024-07-20 12:44:04,13.4,86.7
2024-07-20 12:44:05,14.2,86.7
2024-07-20 12:44:06,16.3,86.7
2024-07-20 12:44:07,14.5,86.6
2024-07-20 12:44:08,18.9,87.1
2024-07-20 12:44:09,9.7,87.0
2024-07-20 12:44:10,1.1,87.0
2024-07-20 12:44:11,3.4,86.3
2024-07-20 12:44:12,1.6,86.3
2024-07-20 12:44:13,1.4,86.3
2024-07-20 12:44:14,2.3,86.3
2024-07-20 12:44:15,1.5,86.3
2024-07-20 12:44:16,2.9,86.3
2024-07-20 12:44:17,3.6,86.3
2024-07-20 12:44:18,2.8,86.3
2024-07-20 12:44:19,0.8,86.3
2024-07-20 12:44:20,1.3,86.3
2024-07-20 12:44:21,1.1,86.3
2024-07-20 12:44:22,1.4,86.3
2024-07-20 12:44:23,0.6,86.3
2024-07-20 12:44:24,3.5,86.3
2024-07-20 12:44:25,3.5,86.3
2024-07-20 12:44:26,2.0,86.3
2024-07-20 12:44:27,1.3,86.2
2024-07-20 12:44:28,0.9,86.2
2024-07-20 12:44:29,0.5,86.2
2024-07-20 12:44:30,1.9,86.2
2024-07-20 12:44:31,0.8,86.2
2024-07-20 12:44:32,1.5,86.2
2024-07-20 12:44:33,2.1,86.2
2024-07-20 12:44:34,2.3,86.2
2024-07-20 12:44:35,1.8,86.2
2024-07-20 12:44:36,1.4,86.2
2024-07-20 12:44:37,1.0,86.2
2024-07-20 12:44:38,1.8,86.2
2024-07-20 12:44:39,1.3,86.2
2024-07-20 12:44:40,1.5,86.2
2024-07-20 12:44:41,1.4,86.2
2024-07-20 12:44:42,0.9,86.2
2024-07-20 12:44:43,2.0,86.2
2024-07-20 12:44:44,0.9,86.2
2024-07-20 12:44:45,0.9,86.2
2024-07-20 12:44:46,2.6,86.2
2024-07-20 12:44:47,1.5,86.2
2024-07-20 12:44:48,0.6,86.2
2024-07-20 12:44:49,0.5,86.2
2024-07-20 12:44:50,1.4,86.2
2024-07-20 12:44:51,1.6,86.2
2024-07-20 12:44:52,1.1,86.2
2024-07-20 12:44:53,0.9,86.2
2024-07-20 12:44:54,1.1,86.2
2024-07-20 12:44:55,1.9,86.2
2024-07-20 12:44:56,1.8,86.2
2024-07-20 12:44:57,1.6,86.2
2024-07-20 12:44:58,1.3,86.2
2024-07-20 12:44:59,0.9,86.2
2024-07-20 12:45:00,1.8,86.2
2024-07-20 12:45:01,1.1,86.2
2024-07-20 12:45:02,1.4,86.2
2024-07-20 12:45:03,0.9,86.2
2024-07-20 12:45:04,1.1,86.2
2024-07-20 12:45:05,1.3,86.2
2024-07-20 12:45:06,2.3,86.2
2024-07-20 12:45:07,0.5,86.2
2024-07-20 12:45:08,0.8,86.2
2024-07-20 12:45:09,1.4,86.2
2024-07-20 12:45:10,1.9,86.2
2024-07-20 12:45:11,0.9,86.2
2024-07-20 12:45:12,1.0,86.2
2024-07-20 12:45:13,1.3,86.2
2024-07-20 12:45:14,1.8,86.2
